0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0,3,9,1,6,3,7,2,5,1,6,7,6,2,8,6,1,8,1,9,4,7,2,7,4,9,6,4,1,9
2,1,0,1,8,3,5,4,0,7,4,6,2,7,8,8,6,5,8,4,8,4,4,1,2,4,6,0,3,5,1
3,5,7,0,0,3,5,8,3,6,3,1,1,3,7,7,4,2,7,0,6,5,2,7,6,1,4,4,6,4,6
4,3,8,4,0,0,1,7,0,8,5,8,9,4,2,2,2,6,3,4,3,8,0,6,3,7,5,6,6,8,3
5,8,0,4,1,0,8,0,7,2,7,8,2,2,2,6,7,2,6,5,7,6,8,0,9,7,8,6,5,9,9
6,0,4,5,8,3,0,1,2,2,0,7,2,6,0,8,5,7,9,8,1,6,7,1,3,6,7,8,5,9,6
7,9,3,9,1,7,6,0,7,6,5,8,8,4,1,9,1,0,8,7,4,6,1,2,1,5,7,0,2,1,5
8,1,9,6,3,0,1,3,0,7,7,1,5,0,1,5,7,9,3,8,2,7,6,4,7,1,6,2,7,4,3
9,3,6,7,8,6,7,2,7,0,6,6,9,2,3,6,2,2,7,1,7,6,2,7,2,4,4,6,9,8,3
10,6,4,1,7,2,7,8,1,1,0,3,4,5,3,4,9,6,7,1,0,8,3,7,8,2,6,1,2,5,2
11,6,2,7,3,7,4,4,6,7,5,0,2,7,3,0,6,1,5,4,7,7,1,5,8,2,3,3,3,6,1
12,0,4,5,3,9,1,2,6,5,1,5,0,2,6,6,9,4,3,4,9,1,3,8,8,5,8,1,5,6,2
13,0,3,3,6,6,1,4,2,1,4,8,4,0,7,9,2,6,1,3,2,0,7,7,4,7,0,2,4,3,7
14,4,7,3,4,4,2,8,3,2,1,6,8,2,0,2,3,5,3,3,7,3,5,6,6,3,9,5,0,7,3
15,3,5,8,6,5,2,7,3,3,7,2,1,7,1,0,8,7,3,6,8,9,6,3,4,7,9,6,6,9,9
16,6,9,0,7,9,5,1,8,2,8,2,2,9,1,3,0,5,3,5,5,8,3,8,2,2,8,0,6,6,1
17,5,6,9,8,1,1,3,3,1,8,1,7,4,5,1,4,0,0,5,5,4,0,2,8,8,9,0,4,6,1
18,7,1,6,5,4,7,0,6,8,2,8,4,5,2,1,8,5,0,2,3,0,4,3,0,7,2,3,8,3,7
19,0,6,2,5,7,5,1,3,9,2,7,1,2,5,1,4,2,2,0,4,0,6,4,5,4,8,7,0,5,1
20,6,5,8,3,1,9,6,6,9,4,1,5,3,7,8,8,2,4,0,0,0,4,3,4,4,6,2,4,7,8
21,7,8,1,6,6,1,6,3,2,6,0,7,5,9,6,3,4,9,1,2,0,6,3,2,0,7,1,1,3,5
22,7,4,7,4,0,2,3,9,6,6,0,4,8,3,5,3,4,7,4,5,7,0,2,8,4,6,9,1,9,1
23,6,3,2,8,6,5,2,0,3,7,1,7,8,2,8,2,1,1,3,3,1,7,0,4,5,4,4,3,5,3
24,4,2,5,9,9,5,8,3,5,5,3,5,3,3,4,1,5,4,9,4,4,6,3,0,5,5,7,5,0,3
25,7,8,0,5,5,3,0,2,5,1,3,9,3,2,4,1,5,3,4,3,1,4,6,3,0,8,5,5,7,3
26,4,0,6,1,3,4,8,1,8,9,1,5,0,8,8,3,5,2,5,6,1,6,0,4,0,0,4,1,6,1
27,5,5,2,9,1,2,6,9,8,7,6,8,5,1,6,8,7,3,2,3,7,6,4,2,7,6,0,8,1,5
28,2,8,6,5,6,0,7,9,5,3,4,8,8,2,1,9,1,6,3,5,5,5,3,1,7,7,8,0,3,5
29,2,2,7,8,1,4,8,2,1,4,4,8,8,8,0,7,3,6,7,4,7,8,6,2,1,4,6,4,0,0
30,8,2,8,7,7,1,3,4,7,7,8,0,7,4,6,7,4,7,8,3,5,9,3,3,5,1,4,6,2,0

